Provider Number,Provider Name,Address,City,Phone_Number,ZipCode,Service Area,Supervisory District,Programs/Services,Provider Classification,Age Group Served,Language/Cultures,Operation,Operation Hours,Walk-In-Hours
7455,PENNY LANE CENTERS,43520 DIVISION ST.,LANCASTER,(661) 266-4783,93534,1,5,"0-5 MENTAL HEALTH SERVICES, CALWORKS, COMMUNITY OUTREACH, DUAL DIAGNOSIS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, FARSI, HEBREW, HMONG, KOREAN, LEBANESE, SPAINSH, UKRANIAN",NGA,MON - THURS   8:00 AM - 8:00 PM;  FRI 8:00 AM - 6:00 PM,CONTACT PROVIDER
7473,CHILD BUREAU OF SOUTHERN CA-LANCASTER DT,921 WEST AVE. J STE. C,LANCASTER,(661) 949-0131,93534,1,5,"0-5 MENTAL HEALTH SERVICES, COMMUNITY OUTREACH, CRISIS INTERVENTION, DAY TREATMENT, MULTIDISCIPLINARY ASSESSMENT TEAM, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, FARSI, FRENCH, ITALIAN, RUSSIAN, SPANISH",NGA,MON - FRI 8:00 AM - 7:00 PM,CONTACT PROVIDER
7488,CHILDREN'S CENTER OF ANTELOPE VALLEY,45111 FERN AVE.,LANCASTER,(661) 949-1206,93534,1,5,"0-5 MENTAL HEALTH SERVICES, COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH, TAGALOG, ARMENIAN",NGA,MON - FRI 8:00 AM - 6:00 PM,MON - FRI 8:00 AM - 6:00 PM
7531,TARZANA TREATMENT CENTER,4447 NORTH 10TH ST. WEST,LANCASTER,(661) 726-2630,93534,1,5,"AB109, CO-OCCURRING DISORDERS, CRISIS INTERVENTION, PREVENTION & EARLY INTERVENTION (PEI), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHIATRY,  TARGETED CASE MANAGEMENT,WRAPAROUND",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI  8:30 AM - 6:00 PM,CONTACT PROVIDER
7539,ALAFIA MENTAL HEALTH INSTITUTE,"1331 W. AVENUE J, SUITE 202",LANCASTER,(661) 940-9094,93534,1,5,"0-5 MENTAL HEALTH SERVICES, CRISIS INTERVENTION, PREVENTION & EARLY INTERVENTION (PEI), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHIATRY, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI  8:30 AM - 5:00 PM,CONTACT PROVIDER
7541,OPTIMIST YOUTH HOMES-PALMDALE,520 WEST PALMDALE BLVD. STE. D,PALMDALE,(661) 575-8395,93551,1,5,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARABIC, ENGLISH, SPANISH",NGA,MON - FRI   9:00 AM - 5:00 PM,CONTACT PROVIDER
7679,HERITAGE CLINIC-PALMDALE,"1037 W. AVENUE N, STE. 205",PALMDALE,(661) 575-9365,93551,1,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,OLDER ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7741,HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,44738 SIERRA HIGHWAY,LANCASTER,(661) 942-5749,93534,1,5,"0-5 MENTAL HEALTH SERVICES, COMMUNITY OUTREACH, CO-OCCURRING DISORDERS, PREVENTION & EARLY INTERVENTION (PEI), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHIATRY, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORIAL SERVICES",OUTPATIENT,CHILD/ADULT,"ENGLISH, GERMAN, JAPANESE, KOREAN, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7751,PROVIDENCE COMMUNITY SERVICES,44285 LOWTREE ST.,LANCASTER,(661) 341-3900; FAX: (661) 341-3904,93534,1,5,"0-5 MENTAL HEALTH SERVICES, COMMUNITY OUTREACH, INTENSIVE IN-HOME SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHIATRY, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, SPANISH",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7792,MASADA HOMES,"314 EAST AVE. K-4, STE. 104",LANCASTER,(661) 726-5500,93535,1,5,"0-5 MENTAL HEALTH SERVICES, COMMUNITY OUTREACH, PREVENTION & EARLY INTERVENTION (PEI), MEDICATION SUPPORT, PSYCHOLOGICAL ASSESSMENT, SCHOOL-BASED SERVICES, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI  8:30AM - 5:30 PM,MON - FRI  8:30AM - 5:30 PM
7835,SSG-AVRC - ANTELOPE VALLEY,"3055 ARRASTRE CANYON ROAD, BLAIR BLDG 2",ACTON,(213) 620-5712,93510,1,5,"CASE MANGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON - FRI  8:00AM - 4:00 PM,BY REFERRAL ONLY
7881,SSG PROJECT 180 NORTH,1050 E. PALMDALE BLVD. SUITE 211,PALMDALE,(661) 208-4699,93550,1,5,"AB109, CRISIS INTERVENTION, CO-OCCURRING DISORDERS, FIELD CAPABLE CLINICAL SERVICES (FCCS), MENTAL HEALTH SERVICES* (MHS), MEDICATION SUPPORT, TARGETED CASE MANAGEMENT, TELE-MEDICINE",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI  8:00AM - 4:00 PM,MON - FRI  8:00AM - 4:00 PM
1953,LAC-OLIVE VIEW/UCLA MEDICAL CENTER,14445 OLIVE VIEW DR.,SYLMAR,(818) 364-3432,91342,2,5,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, FRENCH, GERMAN, HINDI, PUNJABI, RUSSIAN, SPANISH, TAGALOG, URDU",DHS,24 HOURS,24 HOURS
7477,HOMELESS OUTREACH - SAN FERNANDO,10605 BALBOA BLVD. STE. 100,GRANADA HILLS,(818) 832-2410,91344,2,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, CRISIS HOMELESS, MENTAL HEALTH SERVICES* (MHS), PROVIDER LINKAGE AND REFERRAL, PSYCHIATRIC MOBILE RESPONSE",CRISIS SERVICES,ADULT/CHILD/TAY,"ARMENIAN, BENGALI, CANTONESE, ENGLISH, FARSI, FRENCH, HEBREW, HINDI, IBO, ILOCANO, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, UKRAINE, VIETNAMESE, YORUBA",DMH,24 HOURS,FIELD RESPONSE ONLY
7877,BURBANK MENTAL HEALTH EVALUATION TEAM,"200 NORTH 3RD STREET, 3RD FLOOR",BURBANK,(818) 238-3000,91502,2,3,MENTAL HEALTH SERVICES* (MHS),CRISIS SERVICES,CHILD/TAY,ENGLISH,DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7864,PENNY LANE CENTERS,16350 FILBERT ST.,SYLMAR,818-755-4950/ Fax 818-752-0783,91342,2,3,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,ENGLISH,DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7485,SAN FERNANDO VALLEY MHC INC. PROBATION CAMPS,16350 FILBERT AVE,SYLMAR,(818) 901-4879,91342,2,3,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,,DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
6821,BARRY J. NIDORF - JUVENILE HALL MENTAL HEALTH UNIT,16350 FILBERT ST.,SYLMAR,(818) 364-2078,91342,2,3,"COMMUNITY OUTREACH, CRISIS INTERVENTION, JUVENILE JUSTICE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",JUVENILE JUSTICE,CHILD/TAY,"AMERICAN SIGN, ARMENIAN, ENGLISH, HINDI, RUSSIAN, SPANISH, TELUGU, VIETNAMESE",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7622,SAN FERNANDO VALLEY CMHC-JUVENILE JUSTICE PROGRAM,14550 SHERMAN WAY,VAN NUYS,(818) 901-4879,91405,2,3,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",JUVENILE JUSTICE,ADULT,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7818,DMH/DHS COLLABORATION - MID VALLEY,"7515 VAN NUYS BLVD,  SUITE 461 A",VAN NUYS,(818) 947-4628,91405,2,3,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT, TELE-MEDICINE FOR MEDICATION SUPPORT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",DMH,MON-FRI 8.00 AM TO 5:00 PM,BY REFERRAL ONLY
7905,DMH-CALWORKS PROGRAM,631 MAPLE AVE.,LOS ANGELES,(213) 680-6366,90014,2,4,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7760,SAN FERNANDO ADULT FCCS,10515 BALBOA BLVD. STE. 150,GRANADA HILLS,(818) 488-3888,91344,2,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ARMENIAN, ENGLISH, GREEK, KOREAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,MON - FRI 8:00 AM - 6:30 PM,MON - FRI 8:00 AM - 6:30 PM
6840,SAN FERNANDO MENTAL HEALTH CENTER,10605 BALBOA BLVD. STE. 100,GRANADA HILLS,(818) 832-2400,91344,2,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FRENCH, GREEK, HEBREW, JAPANESE, KOREAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,MON - FRI 8:00 AM - 6:30 PM,MON - FRI 8:00 AM - 6:30 PM
7651,SAN FERNANDO MHS FSP PROGRAM,"10515 BALBOA BLVD. STE. 260, 376",GRANADA HILLS,(818) 488-3837,91344,2,5,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ARMENIAN, ENGLISH, GREEK, KOREAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,MON - FRI 8:00 AM - 6:30 PM,MON - FRI 8:00 AM - 6:30 PM
1905,SANTA CLARITA VALLEY MENTAL HEALTH CENTER,23501 CINEMA DR. STE. 200,VALENCIA,(661) 288-4800,91355,2,5,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), NEUROPSYCHOLOGICAL ASSESMENT, PSYCHOLOGICAL ASSESSMENT, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ARMENIAN, ENGLISH, FARSI, HINDI, HUNGARIAN, ILOCANO, PAKISTANI, RUSSIAN, SPANISH, TAGALOG, URDU",DMH,"MON, WED, THURS, FRI 8:00 AM - 6:30 PM; TUES 8:00 AM - 8:00 PM","MON, WED, THURS, FRI 8:00 AM - 6:30 PM; TUES 8:00 AM - 8:00 PM"
7340,VALLEY COORDINATED CHILDREN'S SERVICES,19231 VICTORY BLVD. STE. 110,RESEDA,(818) 708-4500,91335,2,3,"CRISIS ASSESSMENT, CRISIS INTERVENTION, CRISIS MANAGEMENT, CRISIS STABILIZATION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, FARSI, SINGHALESE, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
6841,WEST VALLEY MENTAL HEALTH CENTER,7621 CANOGA AVE.,CANOGA PARK,(818) 598 6900,91304,2,3,"FIELD CAPABLE CLINICAL SERVICES (FCCS), INDIVIDUAL/GROUP REHABILITATION, INDIVIDUAL/GROUP THERAPY, MEDICATION SUPPORT, PEER SUPPORT",OUTPATIENT,ADULT/OLDER ADULT,"ARMENIAN, ENGLISH, FARSI, HINDI, RUSSIAN, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7746,WEST VALLEY MHC WELLNESS CENTER,6800 OWENSMOUTHM SUITE 160,CANOGA PARK,(818) 610-6700,91304,2,3,"FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT",OUTPATIENT,ADULT/OLDER ADULT,"ENGLISH, FARSI, SPANISH",DMH,MON - FRI 8:00 AM - 5:00 PM,MON - THURS 8:00 AM - 5:00 PM
5042,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD.,ENCINO,(818) 995-5138,91436,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,ENGLISH,FFS,24 HOURS,24 HOURS
5011,GLENDALE ADVENTIST MEDICAL CENTER,1509 WILSON TERRACE,GLENDALE,(818) 409-8027,91206,2,5,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,"ARABIC, ARMENIAN, ENGLISH",FFS,24 HOURS,24 HOURS
5563,GLENDALE MEMORIAL HOSPITAL,"1420 S, CENTRAL AVE",GLENDALE,(818) 409-7611,91204,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,CHILD/ADULT,"ENGLISH, SPANISH",FFS,24 HOURS,24 HOURS
5532,HENRY MAYO NEWHALL HOSPITAL,23845 WEST MCBEAN PKWY.,SANTA CLARITA,(661) 253-8000,91355,2,5,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,ENGLISH,FFS,24 HOURS,24 HOURS
6758,HILLVIEW MHC ADULT RESIDENTIAL,"12408 VAN NUYS BLVD, BLDG C",PACOIMA,(818) 657-0411,91331,2,3,"MENTAL HEALTH SERVICES* (MHS), RESIDENTIAL",24 HOUR/RESIDENTIAL,ADULT,ENGLISH,FFS,24 HOURS,BY REFERRAL ONLY
5049,JOYCE EISENBURG KEEFER MEDICAL CENTER,7150 TAMPA AVE,RESEDA,(818) 758-5045,91335,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,CHILD/ADULT,"ENGLISH,SPANISH",FFS,24 HOURS,24 HOURS
5031,MISSION COMMUNITY HOSPITAL,14850 ROSCOE BLVD.,PANORAMA CITY,(818) 904-3594,91402,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,ENGLISH,FFS,24 HOURS,24 HOURS
5069,NORTHRIDGE HOSPITAL,18300 ROSCOE BLVD,NORTHRIDGE,(818) 885-8500,91326,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,CHILD/ADULT,"ENGLISH,SPANISH",FFS,24 HOURS,24 HOURS
5020,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO RD.,SUN VALLEY,(818) 767-3310,91352,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,ENGLISH,FFS,24 HOURS,24 HOURS
5050,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,(818) 205-1946,91403,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,CHILD/ADULT,"ENGLISH,SPANISH",FFS,24 HOURS,24 HOURS
5560,SOUTHERN CALIFORNIA HOSPITAL OF VAN NUYS,14433 EMELITA ST.,VAN NUYS,(323) 462-2271,91401,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, SPANISH",FFS,24 HOURS,24 HOURS
5043,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD.,GLENDALE,(818) 952-2270,91208,2,5,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,ADULT,"ENGLISH, SPANISH",FFS,24 HOURS,24 HOURS
5568,TARZANA TREATMENT CENTER,18646 OXNARD ST,TARZANA,(818) 654-3850,91356,2,3,24 HOUR ACUTE INPATIENT,24 HOUR/RESIDENTIAL,CHILD/ADULT,"ENGLISH, SPANISH",FFS,24 HOURS,24 HOURS
7319,EL DORADO-SANTA CLARITA,24625 NEWHALL AVE,NEWHALL,(661) 254-6030,91350,2,5,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT,ENGLISH,FFS,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7314,EL DORADO-VAN NUYS MEDICAL,6265 SEPULVEDA BLVD.,VAN NUYS,(818) 779-0555,91411,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,HOURS VARY; PLEASE CALL MON - FRI 6:00 AM - 2:30 PM,CONTACT PROVIDER
7772,BRIDGES INC. TRUSTART OP,6267 VARIEL AVE,WOODLAND HILLS,(818) 657-0411,91367,2,3,"MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), RESIDENTIAL",24 HOUR/RESIDENTIAL,ADULT,ENGLISH,NGA,24 HOURS,BY REFERRAL ONLY
7075,BRIDGES INC. - HACIENDA RETIRADA INC.,8514 TOPANGA CANYON BLVD.,CANOGA PARK,(818) 999-0143,91304,2,5,"MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT, TRANSITIONAL RESIDENTIAL",24 HOUR/RESIDENTIAL,ADULT,ENGLISH,NGA,24 HOURS,BY REFERRAL ONLY
7154,PRIMER PASO BRIDGES INC.,20401 ROSCOE BLVD.,CANOGA PARK,(818) 999-0143,91306,2,3,"MEDICATION SUPPORT, RESIDENTIAL, TRANSITIONAL RESIDENTIAL, TARGETED CASE MANAGEMENT",24 HOUR/RESIDENTIAL,CHILD/TAY,ENGLISH,NGA,24 HOURS,BY REFERRAL ONLY
6853,SAN FERNANDO VALLEY CMHC-YOUTH & FAMILY CTR.,6305 WOODMAN AVE.,VAN NUYS,(818) 908-4999,91401,2,3,"COMMUNITY OUTREACH, CRISIS INTERVENTION, FIELD CABABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY/ADULT,"ARMENIAN, ENGLISH, FARSI, JAPANESE, MANDARIN, RUSSIAN, SPANISH",NGA,24 HOURS,BY REFERRAL ONLY
